"integration_name","integration_company","integration_type","integration_url","integration_logo","integration_logo_url","integration_description","image_integration_homepage","image_integration_homepage_url","integration_seo"
"Amazon CodeCommit","Amazon.com, Inc.","Source Code Escrow","https://aws.amazon.com/codecommit/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f02576c54500105af7d8/thumb/awscodecommitlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95f02576c54500105af7d8/original/awscodecommitlogo.png","Amazon CodeCommit is a version control service hosted by Amazon Web Services that you can use to privately store and manage assets such as documents, source code, and binary files in the cloud.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ef86c1a3d600136b5a8d/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ef86c1a3d600136b5a8d/original/screenshot.png","Use Amazon CodeCommit for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"CVS","Free Software Foundation","Source Code Escrow","https://savannah.nongnu.org/projects/cvs","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ffeb815f57001070dfe0/thumb/gnu_meditate_levitate.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ffeb815f57001070dfe0/original/gnu_meditate_levitate.png","Concurrent Versions System (CVS) is a program that lets a code developer save and retrieve different development versions of source code.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ede608a87c001096a9d1/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95ede608a87c001096a9d1/original/screenshot.png","Use CVS for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Subversion","-","Source Code Escrow","https://www.subversion.apache.org","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95eb226d711500106d849b/thumb/subversionlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95eb226d711500106d849b/original/subversionlogo.png","Subversion is used to maintain current and historical versions of files such as source code, web pages, and documentation. Its goal is to be a mostly compatible successor to the widely used Concurrent Versions System.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95eb8d4642d80011e62014/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95eb8d4642d80011e62014/original/screenshot.png","Use Subversion for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Azure","Microsoft Corporation","Source Code Escrow","https://www.azure.microsoft.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95e8f67968490010949044/thumb/azurelogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95e8f67968490010949044/original/azurelogo.png","Azure is a cloud computing service for building, testing, deploying, and managing applications and services through Microsoft-managed data centers. ","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95e967d4700800123a7e44/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95e967d4700800123a7e44/original/screenshot.png","Use Azure for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Visual Studio","Microsoft Corporation","Source Code Escrow","https://www.visualstudio.microsoft.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95da2c213e69001370a2ad/thumb/visualstudiologo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95da2c213e69001370a2ad/original/visualstudiologo.png","Microsoft Visual Studio is an integrated development environment from Microsoft. It is used to develop computer programs, as well as websites, web apps, web services and mobile apps.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95da9628477100107e3328/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95da9628477100107e3328/original/screenshot.png","Use Visual Studio for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Git","Git","Source Code Escrow","https://www.git-scm.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d92d28477100107e3266/thumb/gitlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d92d28477100107e3266/original/gitlogo.png","Git is designed for coordinating work among programmers, but it can be used to track changes in any set of files. Its goals include speed, data integrity, and support for distributed, non-linear workflows","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d8e0ae44c3001028f3c9/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d8e0ae44c3001028f3c9/original/screenshot.png","Use Git for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"GitLab","GitLab Inc.","Source Code Escrow","https://www.gitlab.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d65ba2334f001031e4ef/thumb/gitlablogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d65ba2334f001031e4ef/original/gitlablogo.png","GitLab is a great way to manage git repositories on a centralized server. GitLab gives you complete control over your repositories and allows you to decide whether they are public or private for free.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d5ac213e69001370a097/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d5ac213e69001370a097/original/screenshot.png","Use GitLab for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Bitbucket","Atlassian Corporation Plc","Source Code Escrow","https://www.bitbucket.org","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d2c4ae44c3001028f0ec/thumb/bitbucketlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d2c4ae44c3001028f0ec/original/bitbucketlogo.png","Bitbucket is a web-based version control repository hosting service for source code and development projects that use either Mercurial or Git revision control systems.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d3ee213e690013709f97/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d3ee213e690013709f97/original/screenshot.png","Use Bitbucket for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"GitHub Enterprise","GitHub, Inc.","Source Code Escrow","https://www.github.com/enterprise","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95cf738528970011e23b0f/thumb/githubenterpriselogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95cf738528970011e23b0f/original/githubenterpriselogo.png","GitHub Enterprise is the on-premises version of GitHub.com. It makes collaborative coding possible and enjoyable for large-scale enterprise software development teams","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d45708a87c0010969609/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d95d45708a87c0010969609/original/screenshot.png","Use GitHub Enterprise for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
"Github","Github, Inc.","Source Code Escrow","https://www.github.com","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9358a02736c900122bd304/thumb/github_png20.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d8fc2ae7f16dc0012a5d8cc/5d9358a02736c900122bd304/original/github_png20.png","GitHub is a development platform inspired by the way you work. From open source to business, you can host and review code, manage projects, and build software alongside 40 million developers.","","","Use Github for your Source Code Escrow? Codekeeper integrates directly so no manual depositing for your source code escrow or data escrow!"
